"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"Kong/kong","https://github.com/Kong/kong","kong","Kong","🦍 The API and AI Gateway","Lua","Apache-2.0","Apache License 2.0","true",44076,4616,"11/17/14 23:56","9/3/26 1:32","11/17/14 23:56","8/4/26 9:27",140.51,"artificial-intelligence","true","true"
"explosion/spaCy","https://github.com/explosion/spaCy","spaCy","explosion","💫 Industrial-strength Natural Language Processing (NLP) in Python","Python","MIT","MIT License","true",33869,5771,"7/3/14 15:15","9/3/26 2:10","7/3/14 15:15","8/24/26 8:26",145.66,"artificial-intelligence; deep-learning; machine-learning","true","true"
"The-Art-of-Hacking/h4cker","https://github.com/The-Art-of-Hacking/h4cker","h4cker","The-Art-of-Hacking","This repository is maintained by Omar Santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), AI security, vulnerability research, exploit development, reverse engineering, and more. 🔥 Also check: https://hackertraining.org","Jupyter Notebook","MIT","MIT License","true",29247,204,"6/19/17 17:11","9/3/26 2:31","6/19/17 17:11","9/3/26 2:30",110.45,"artificial-intelligence","true","true"
"onnx/onnx","https://github.com/onnx/onnx","onnx","onnx","Open standard for machine learning interoperability","Python","Apache-2.0","Apache License 2.0","true",21403,3179,"9/7/17 4:53","9/3/26 1:33","9/7/17 4:47","9/2/26 23:57",107.82,"artificial-intelligence; deep-learning; machine-learning","true","true"
"carla-simulator/carla","https://github.com/carla-simulator/carla","carla","carla-simulator","Open-source simulator for autonomous driving research.","C++","MIT","MIT License","true",14352,6337,"10/24/17 9:06","9/3/26 1:41","3/3/17 11:24","9/2/26 17:42",113.99,"artificial-intelligence; deep-learning","true","true"
"google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","sonnet","google-deepmind","TensorFlow-based neural network library","Python","Apache-2.0","Apache License 2.0","true",9962,192,"4/3/17 11:34","9/2/26 9:57","4/6/17 16:20","7/7/26 22:30",111.01,"artificial-intelligence; deep-learning; machine-learning","true","true"
"olistic/warriorjs","https://github.com/olistic/warriorjs","warriorjs","olistic","🏰 An exciting game of programming and Artificial Intelligence","TypeScript","MIT","MIT License","true",9537,120,"4/29/15 14:25","9/1/26 13:50","4/29/15 14:25","3/20/26 23:58",130.68,"artificial-intelligence","true","true"
"OlafenwaMoses/ImageAI","https://github.com/OlafenwaMoses/ImageAI","ImageAI","OlafenwaMoses","A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities","Python","MIT","MIT License","true",8881,745,"3/19/18 23:12","9/1/26 13:55","3/19/18 23:12","2/20/24 22:38",71.06,"artificial-intelligence; machine-learning","true","true"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","DeepPavlov","deeppavlov","An open source library for deep learning end-to-end dialog systems and chatbots.","Python","Apache-2.0","Apache License 2.0","true",6985,647,"11/17/17 14:35","9/2/26 10:32","11/17/17 14:35","11/26/24 6:34",84.26,"artificial-intelligence; deep-learning; machine-learning","true","true"
"guofei9987/scikit-opt","https://github.com/guofei9987/scikit-opt","scikit-opt","guofei9987","Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune Algorithm, Artificial Fish Swarm Algorithm, Differential Evolution and TSP(Traveling salesman) ","Python","MIT","MIT License","true",6709,182,"12/5/17 10:20","9/2/26 6:44","12/6/17 6:36","3/25/26 9:12",99.57,"artificial-intelligence","true","true"
"numenta/nupic-legacy","https://github.com/numenta/nupic-legacy","nupic-legacy","numenta","Numenta Platform for Intelligent Computing is an implementation of Hierarchical Temporal Memory (HTM), a theory of intelligence based strictly on the neuroscience of the neocortex.","Python","MIT","MIT License","true",6350,1792,"4/5/13 23:14","9/1/26 12:13","4/5/13 23:14","12/3/24 17:50",139.91,"artificial-intelligence","true","true"
"Trusted-AI/adversarial-robustness-toolbox","https://github.com/Trusted-AI/adversarial-robustness-toolbox","adversarial-robustness-toolbox","Trusted-AI","Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","Python","MIT","MIT License","true",6215,913,"3/15/18 14:40","9/3/26 1:58","5/9/17 12:41","11/13/25 14:55",102.17,"artificial-intelligence; machine-learning","true","true"
"gorgonia/gorgonia","https://github.com/gorgonia/gorgonia","gorgonia","gorgonia","Gorgonia is a library that helps facilitate machine learning in Go.","Go","Apache-2.0","Apache License 2.0","true",5932,283,"9/14/16 23:19","9/2/26 7:45","9/14/16 23:19","10/13/23 9:13",84.89,"artificial-intelligence; deep-learning; machine-learning","true","true"
"google-deepmind/dm_control","https://github.com/google-deepmind/dm_control","dm_control","google-deepmind","Google DeepMind's software stack for physics-based simulation and Reinforcement Learning environments, using MuJoCo.","Python","Apache-2.0","Apache License 2.0","true",4681,442,"12/29/17 18:13","9/1/26 14:07","1/2/18 19:35","8/29/26 12:21",103.81,"artificial-intelligence; deep-learning; machine-learning","true","true"
