"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"Kong/kong","https://github.com/Kong/kong","kong","Kong","🦍 The API and AI Gateway","Lua","Apache-2.0","Apache License 2.0","true",44197,4626,"2014-11-17T23:56:08Z","2026-09-25T22:57:56Z","2014-11-17T23:56:08Z","2026-09-23T12:48:43Z",142.17,"artificial-intelligence","true","true"
"explosion/spaCy","https://github.com/explosion/spaCy","spaCy","explosion","💫 Industrial-strength Natural Language Processing (NLP) in Python","Python","MIT","MIT License","true",33922,5773,"2014-07-03T15:15:40Z","2026-09-25T12:05:43Z","2014-07-03T15:15:40Z","2026-08-24T08:26:02Z",145.69,"artificial-intelligence; deep-learning; machine-learning; neural-network; natural-language-processing; nlp","true","true"
"The-Art-of-Hacking/h4cker","https://github.com/The-Art-of-Hacking/h4cker","h4cker","The-Art-of-Hacking","This repository is maintained by Omar Santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), AI security, vulnerability research, exploit development, reverse engineering, and more. 🔥 Also check: https://hackertraining.org","Jupyter Notebook","MIT","MIT License","true",29539,208,"2017-06-19T17:11:19Z","2026-09-26T01:39:49Z","2017-06-19T17:11:19Z","2026-09-23T04:48:29Z",111.12,"artificial-intelligence","true","true"
"onnx/onnx","https://github.com/onnx/onnx","onnx","onnx","Open standard for machine learning interoperability","Python","Apache-2.0","Apache License 2.0","true",21527,3188,"2017-09-07T04:53:45Z","2026-09-26T02:46:42Z","2017-09-07T04:47:53Z","2026-09-26T02:46:34Z",108.6,"artificial-intelligence; deep-learning; machine-learning; neural-network","true","true"
"carla-simulator/carla","https://github.com/carla-simulator/carla","carla","carla-simulator","Open-source simulator for autonomous driving research.","C++","MIT","MIT License","true",14428,6360,"2017-10-24T09:06:23Z","2026-09-26T01:00:55Z","2017-03-03T11:24:26Z","2026-09-02T17:42:40Z",114,"artificial-intelligence; deep-learning; computer-vision","true","true"
"google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","sonnet","google-deepmind","TensorFlow-based neural network library","Python","Apache-2.0","Apache License 2.0","true",9970,193,"2017-04-03T11:34:35Z","2026-09-25T11:22:46Z","2017-04-06T17:10:11Z","2026-07-07T22:31:37Z",111.01,"artificial-intelligence; deep-learning; machine-learning","true","true"
"olistic/warriorjs","https://github.com/olistic/warriorjs","warriorjs","olistic","🏰 An exciting game of programming and Artificial Intelligence","TypeScript","MIT","MIT License","true",9540,120,"2015-04-29T14:25:02Z","2026-09-24T15:01:30Z","2015-04-29T14:25:02Z","2026-03-20T23:58:34Z",130.7,"artificial-intelligence","true","true"
"OlafenwaMoses/ImageAI","https://github.com/OlafenwaMoses/ImageAI","ImageAI","OlafenwaMoses","A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities","Python","MIT","MIT License","true",8889,747,"2018-03-19T23:12:33Z","2026-09-26T01:00:57Z","2018-03-19T23:12:34Z","2024-02-20T22:38:05Z",71.09,"artificial-intelligence; machine-learning; object-detection","true","true"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","DeepPavlov","deeppavlov","An open source library for deep learning end-to-end dialog systems and chatbots.","Python","Apache-2.0","Apache License 2.0","true",6995,647,"2017-11-17T14:35:29Z","2026-09-25T09:33:45Z","2017-11-17T14:35:29Z","2024-11-26T06:34:41Z",84.29,"artificial-intelligence; deep-learning; machine-learning; nlp","true","true"
"guofei9987/scikit-opt","https://github.com/guofei9987/scikit-opt","scikit-opt","guofei9987","Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune Algorithm, Artificial Fish Swarm Algorithm, Differential Evolution and TSP(Traveling salesman) ","Python","MIT","MIT License","true",6718,183,"2017-12-05T10:20:41Z","2026-09-24T11:11:41Z","2017-12-06T06:36:04Z","2026-03-25T09:12:06Z",99.58,"artificial-intelligence","true","true"
"numenta/nupic-legacy","https://github.com/numenta/nupic-legacy","nupic-legacy","numenta","Numenta Platform for Intelligent Computing is an implementation of Hierarchical Temporal Memory (HTM), a theory of intelligence based strictly on the neuroscience of the neocortex.","Python","MIT","MIT License","true",6353,1793,"2013-04-05T23:14:27Z","2026-09-25T03:11:45Z","2013-04-05T23:14:27Z","2024-12-03T17:50:20Z",139.94,"artificial-intelligence; machine-intelligence","true","true"
"Trusted-AI/adversarial-robustness-toolbox","https://github.com/Trusted-AI/adversarial-robustness-toolbox","adversarial-robustness-toolbox","Trusted-AI","Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","Python","MIT","MIT License","true",6245,917,"2018-03-15T14:40:43Z","2026-09-25T12:00:49Z","2017-05-09T12:41:50Z","2025-11-13T14:55:10Z",102.17,"artificial-intelligence; machine-learning","true","true"
"gorgonia/gorgonia","https://github.com/gorgonia/gorgonia","gorgonia","gorgonia","Gorgonia is a library that helps facilitate machine learning in Go.","Go","Apache-2.0","Apache License 2.0","true",5930,283,"2016-09-14T23:19:43Z","2026-09-24T09:48:07Z","2016-09-14T23:19:44Z","2023-10-13T09:13:05Z",84.9,"artificial-intelligence; deep-learning; machine-learning; neural-network","true","true"
"google-deepmind/dm_control","https://github.com/google-deepmind/dm_control","dm_control","google-deepmind","Google DeepMind's software stack for physics-based simulation and Reinforcement Learning environments, using MuJoCo.","Python","Apache-2.0","Apache License 2.0","true",4702,442,"2017-12-29T18:13:15Z","2026-09-24T05:52:45Z","2018-01-02T19:35:47Z","2026-09-22T21:12:31Z",104.63,"artificial-intelligence; deep-learning; machine-learning; reinforcement-learning","true","true"
"okfn-brasil/serenata-de-amor","https://github.com/okfn-brasil/serenata-de-amor","serenata-de-amor","okfn-brasil","🕵 Artificial Intelligence for social control of public administration | **This repository does not receive frequent updates. Check out the README**","Python","MIT","MIT License","true",4612,193,"2016-06-27T20:55:11Z","2026-09-22T21:21:21Z","2016-06-27T20:55:49Z","2024-01-31T20:29:15Z",91.13,"artificial-intelligence; machine-learning","true","true"
"gopherdata/gophernotes","https://github.com/gopherdata/gophernotes","gophernotes","gopherdata","The Go kernel for Jupyter notebooks and nteract.","Go","MIT","MIT License","true",3966,187,"2016-01-22T19:22:16Z","2026-09-23T13:56:37Z","2016-01-23T01:08:26Z","2026-09-09T18:57:02Z",127.55,"artificial-intelligence; machine-learning","true","true"
"polyaxon/polyaxon","https://github.com/polyaxon/polyaxon","polyaxon","polyaxon","AI Infra / AI Orchestration / AI Control Plane","MDX","Apache-2.0","Apache License 2.0","true",3735,1069,"2016-12-26T12:48:47Z","2026-09-24T10:21:04Z","2016-03-29T21:48:43Z","2026-09-24T10:20:53Z",125.84,"artificial-intelligence; deep-learning; machine-learning; reinforcement-learning","true","true"
"shogun-toolbox/shogun","https://github.com/shogun-toolbox/shogun","shogun","shogun-toolbox","Shōgun","C++","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",3081,1527,"2011-04-01T10:44:32Z","2026-09-11T17:00:40Z","2006-06-05T14:33:25Z","2023-12-19T18:37:18Z",210.45,"artificial-intelligence; machine-learning","true","true"
"explosion/thinc","https://github.com/explosion/thinc","thinc","explosion","🔮 A refreshing functional take on deep learning, compatible with your favorite libraries","Python","MIT","MIT License","true",2890,154,"2014-10-16T16:34:59Z","2026-09-14T17:46:07Z","2014-06-29T15:20:41Z","2026-03-27T07:49:48Z",140.89,"artificial-intelligence; deep-learning; machine-learning; natural-language-processing; nlp","true","true"
"microsoft/pai","https://github.com/microsoft/pai","pai","microsoft","Resource scheduling and cluster management for AI","JavaScript","MIT","MIT License","true",2692,2086,"2017-09-25T11:24:51Z","2026-09-23T03:18:01Z","2017-09-25T11:24:51Z","2026-09-18T01:28:22Z",107.74,"artificial-intelligence; machine-learning","true","true"
"dickreuter/Poker","https://github.com/dickreuter/Poker","Poker","dickreuter","Fully functional Pokerbot that works on PartyPoker, PokerStars and GGPoker, scraping tables with Open-CV (adaptable via gui) or neural network and making decisions based on a genetic algorithm and montecarlo simulation for poker equity calculation. Binaries can be downloaded with this link:","Python","GPL-3.0","GNU General Public License v3.0","true",2466,158,"2016-03-29T23:58:12Z","2026-09-25T16:10:24Z","2016-09-01T19:40:15Z","2025-06-26T21:29:09Z",105.78,"artificial-intelligence","true","true"
"fairlearn/fairlearn","https://github.com/fairlearn/fairlearn","fairlearn","fairlearn","A Python package to assess and improve fairness of machine learning models.","Python","MIT","MIT License","true",2287,525,"2018-05-15T01:51:35Z","2026-09-24T14:29:39Z","2018-05-15T01:51:35Z","2026-09-21T20:56:32Z",100.26,"artificial-intelligence; machine-learning","true","true"
"TuringLang/Turing.jl","https://github.com/TuringLang/Turing.jl","Turing.jl","TuringLang","Bayesian inference with probabilistic programming.","Julia","MIT","MIT License","true",2255,1279,"2016-04-29T10:51:43Z","2026-09-24T16:48:26Z","2016-04-29T10:51:43Z","2026-09-13T09:42:31Z",124.47,"artificial-intelligence; machine-learning","true","true"
